name,longitude,latitude,address,CITY,STATE,ZIP5,zip4,County
Thorntons 309,-88.197479,42.328087,28937 W Illinois Rte 120,Lakemoor,IL,60051,,MCHENRY 
Thorntons 307,-87.980186,41.992832,110 W Devon Ave,Wood Dale,IL,60191,2830,DU PAGE 
Atara Mart,-87.796516,41.83234,6932 Windsor Ave,Berwyn,IL,60402,3335,COOK 
CVS 70,-87.694023,41.542599,3200 Flossmoor Rd,Flossmoor,IL,60422,2253,COOK 
Walgreens 09331,-87.822723,41.580055,8400 171st St,Tinley Park,IL,60487,2287,COOK 
Villas Country Store,-87.74292,38.901134,10282 E 340th Ave,Flat Rock,IL,62427,3209,CRAWFORD 
7-ELEVEN 33727A,-87.65715,41.879017,200 S Racine Ave,Chicago,IL,60607,2815,COOK 
Jewel/Osco 3632,-87.664024,41.947636,3630 N Southport Ave,Chicago,IL,60613,3710,COOK 
Up Town Shop & Save Inc,-87.654686,41.965549,4605 N Sheridan Rd,Chicago,IL,60640,5019,COOK 
La Estrella Bakery Inc,-87.710426,41.917316,3309 W Armitage Ave,Chicago,IL,60647,3717,COOK 
Country Fresh Finer Food,-87.643196,41.929916,2583 N Clark St,Chicago,IL,60614,1717,COOK 
Chatham BP,-89.70446,39.67635,300 N Main St,Chatham,IL,62629,1084,SANGAMON 
JTA Foods,-88.574577,39.929432,900 N Macon St,Bement,IL,61813,1012,PIATT 
"A Plus Asian Mart, Inc.",-88.079773,42.048683,1 Golf Ctr,Hoffman Estates,IL,60169,4910,COOK 
Winthrop Marathon,-87.823708,42.478622,901 N Sheridan Road,Winthrop Harbor,IL,60096,,LAKE 
La Jerezana Grocery Store,-89.984261,38.51786,401 N Illinois St,Belleville,IL,62220,1234,ST CLAIR 
Walmart Supercenter 4529,-87.954208,41.512398,501 E Lincoln Hwy,New Lenox,IL,60451,1909,WILL 
Casey's General Store 2509,-89.578758,41.98645,120 N Division Ave,Polo,IL,61064,1432,OGLE 
Dollar General 12400,-90.199013,40.495106,320 N First St,Cuba,IL,61427,,FULTON 
Dollar General 12544,-87.683365,41.772205,6647 S Western Ave,Chicago,IL,60636,2412,COOK 
Walgreens 13454,-87.689789,41.993561,6140 N Western Ave,Chicago,IL,60659,2816,COOK 
CVS 5819,-87.815132,41.675915,11859 Southwest Hwy,Palos Heights,IL,60463,1017,COOK 
Aldi 70,-89.631126,40.797951,9129 N Allen Rd,Peoria,IL,61615,1543,PEORIA 
CVS 3665,-88.123688,41.795719,1229 E Ogden Ave,Naperville,IL,60563,1603,DU PAGE 
7-Eleven 33913,-87.759903,41.706444,10220 Central Ave,Oak Lawn,IL,60453,4602,COOK 
Sweqi Food Mart Inc,-87.728973,41.909878,4100 W North Ave,Chicago,IL,60639,5206,COOK 
HOUSER MEATS,-90.633171,40.094116,14375 Scotts Mill Rd,Rushville,IL,62681,4247,SCHUYLER 
Aldi 03,-87.65625,41.963585,4500 N Broadway St,Chicago,IL,60640,5602,COOK 
Santos #2 Food Mart Inc,-87.712189,41.83905,2859 S Saint Louis Ave,Chicago,IL,60623,4647,COOK 
Route Mart 1,-89.295982,39.552254,120 W Park St,Taylorville,IL,62568,1547,CHRISTIAN 
Adams Food Mart,-87.586327,41.771294,6810 S Stony Island Ave,Chicago,IL,60649,1424,COOK 
MINI MERCADO LA BETANIA,-87.730545,41.840359,2800 S Tripp Ave,Chicago,IL,60623,4336,COOK 
JEWEL 3244,-87.934456,41.870636,944 S York St,Elmhurst,IL,60126,5115,DU PAGE 
Walgreens 11760,-87.794975,41.87973,811 W Madison St,Oak Park,IL,60302,,COOK 
Circle K 6752,-87.877586,41.863445,10200 W Roosevelt Rd,Westchester,IL,60154,2519,COOK 
CARNICERIA GONZALEZ,-87.679741,41.8531,2158 W 21st Pl,Chicago,IL,60608,4010,COOK 
VARELA'S GROCERY,-87.726402,41.846024,4101 W 25th St,Chicago,IL,60623,3634,COOK 
Circle K 172,-87.851563,41.177948,1711 N State Route 50,Bourbonnais,IL,60914,4496,KANKAKEE 
Fastbreak 3,-87.782539,38.409752,1315 W 9th St,Mount Carmel,IL,62863,2906,WABASH 
NEA AGORA PACKING CO,-87.653313,41.869541,1056 W Taylor St,Chicago,IL,60607,4223,COOK 
Walgreens 07360,-87.701355,41.691589,3210 W 111th St,Chicago,IL,60655,2714,COOK 
Walgreens 13004,-89.236412,37.728069,1600 W Main St,Carbondale,IL,62901,2120,JACKSON 
